ID,AUTHOR,CREATED_TIME,SPECIFIC_CONTENT_SHARE_COMMENTARY_TEXT,SPECIFIC_CONTENT_SHARE_MEDIA_CATEGORY,COMMENTARY
urn:li:ugcPost:7105998191279407104,urn:li:organization:52118064,2023-09-08,,,"Emission-Free Energy Certificates from Energy Harbor are a practical, affordable, and measurable solution to offset direct and indirect emissions from business operations. Request a quote today. "
urn:li:ugcPost:7106004521109114880,urn:li:organization:52118064,2023-09-08,,,Meet your company’s zero-emission goals faster with Energy Harbor. Our 24/7 products match hourly usage data with hourly output from local carbon-free generation. Learn more about your options.
urn:li:ugcPost:7105932965146238976,urn:li:organization:52118064,2023-09-08,,,Decarbonize your supply chain and hit ESG targets with carbon offsets from Energy Harbor. Learn more about your options.
urn:li:ugcPost:7105939092202299392,urn:li:organization:52118064,2023-09-08,,,Looking for ways to meet your company’s zero-emission goals? Energy Harbor’s 24/7 Carbon Free Product ensures your operations are 100% carbon-free without supplementing with carbon-emitting sources during times of peak demand.
urn:li:ugcPost:7105939092164509696,urn:li:organization:52118064,2023-09-08,,,Meet your company’s zero-emission goals faster with Energy Harbor. Our 24/7 products match hourly usage data with hourly output from local carbon-free generation. Learn more about your options.
urn:li:ugcPost:7105932965167173632,urn:li:organization:52118064,2023-09-08,,,Take a giant step toward achieving your organization’s ESG goals with Energy Harbor. We can help offset your carbon footprint with Emission-Free Energy Certificates. 
urn:li:ugcPost:7105939092235833344,urn:li:organization:52118064,2023-09-08,,,Energy Harbor’s 24/7 Carbon Free product goes beyond typical carbon offsets to provide a real-time match of energy usage with clean energy from nuclear generation. Learn about how your organization can fully meet its zero-emission goals.
urn:li:ugcPost:7105932965217542144,urn:li:organization:52118064,2023-09-08,,,"Emission-Free Energy Certificates from Energy Harbor are a practical, affordable, and measurable solution to offset direct and indirect emissions from business operations. Request a quote today. "
urn:li:ugcPost:7104918261460344833,urn:li:organization:52118064,2023-09-05,,,Take a giant step toward achieving your organization’s ESG goals with Energy Harbor. We can help offset your carbon footprint with Emission-Free Energy Certificates.
urn:li:ugcPost:7104917092612677633,urn:li:organization:52118064,2023-09-05,,,Looking for ways to meet your company’s zero-emission goals? Energy Harbor’s 24/7 Carbon-Free Product ensures your operations use 100% clean energy without supplementing with carbon-emitting sources during times of peak demand. 
urn:li:ugcPost:7104917092725882880,urn:li:organization:52118064,2023-09-05,,,Energy Harbor’s 24/7 Carbon-Free product goes beyond typical carbon offsets to provide a real-time match of energy usage with clean energy from nuclear generation. Learn about how your organization can fully meet its zero-emission goals. 
urn:li:ugcPost:7104917092679774208,urn:li:organization:52118064,2023-09-05,,,Decarbonize your supply chain and hit ESG targets with carbon offsets from Energy Harbor. Learn more about your options. 
urn:li:ugcPost:7104918261477101568,urn:li:organization:52118064,2023-09-05,,,Meet your company’s zero-emission goals faster with Energy Harbor. Our 24/7 products match hourly usage data with hourly output from local carbon-free generation. Learn more about your options. 
urn:li:ugcPost:7104917092725911552,urn:li:organization:52118064,2023-09-05,,,Meet your company’s zero-emission goals faster with Energy Harbor. Our 24/7 products match hourly usage data with hourly output from local carbon-free generation. Learn more about your options. 
urn:li:ugcPost:7104918261422583808,urn:li:organization:52118064,2023-09-05,,,Decarbonize your supply chain and hit ESG targets with carbon offsets from Energy Harbor. Learn more about your options. 
urn:li:ugcPost:7104918261405806592,urn:li:organization:52118064,2023-09-05,,,"Emission-Free Energy Certificates from Energy Harbor are a practical, affordable, and measurable solution to offset direct and indirect emissions from business operations. Request a quote today."
urn:li:ugcPost:7104918261389029377,urn:li:organization:52118064,2023-09-05,,,Looking for ways to meet your company’s zero-emission goals? Energy Harbor’s 24/7 Carbon-Free Product ensures your operations use 100% clean energy without supplementing with carbon-emitting sources during times of peak demand. 
urn:li:ugcPost:7104917092650418177,urn:li:organization:52118064,2023-09-05,,,"Emission-Free Energy Certificates from Energy Harbor are a practical, affordable, and measurable solution to offset direct and indirect emissions from business operations. Request a quote today."
urn:li:ugcPost:7104917092713299968,urn:li:organization:52118064,2023-09-05,,,Take a giant step toward achieving your organization’s ESG goals with Energy Harbor. We can help offset your carbon footprint with Emission-Free Energy Certificates.
urn:li:ugcPost:7104918261498073088,urn:li:organization:52118064,2023-09-05,,,Energy Harbor’s 24/7 Carbon-Free product goes beyond typical carbon offsets to provide a real-time match of energy usage with clean energy from nuclear generation. Learn about how your organization can fully meet its zero-emission goals. 
urn:li:ugcPost:7103518442959372288,urn:li:organization:265920,2023-09-01,,,POV: It’s Labor Day Weekend and you’re on Lake Erie watching the Cleveland Air Show. ✈️☀️🌊
urn:li:ugcPost:7103371944724463616,urn:li:organization:52118064,2023-09-01,,,Looking for ways to meet your company’s zero-emission goals? Energy Harbor’s 24/7 Carbon-Free Product ensures your operations use 100% clean energy without supplementing with carbon-emitting sources during times of peak demand. 
urn:li:ugcPost:7103371944711880705,urn:li:organization:52118064,2023-09-01,,,Decarbonize your supply chain and hit ESG targets with carbon offsets from Energy Harbor. Learn more about your options. 
urn:li:ugcPost:7103371944686747648,urn:li:organization:52118064,2023-09-01,,,Meet your company’s zero-emission goals faster with Energy Harbor. Our 24/7 products match hourly usage data with hourly output from local carbon-free generation. Learn more about your options. 
urn:li:ugcPost:7103371944703520768,urn:li:organization:52118064,2023-09-01,,,"Emission-Free Energy Certificates from Energy Harbor are a practical, affordable, and measurable solution to offset direct and indirect emissions from business operations. Request a quote today."
urn:li:ugcPost:7103371944732880896,urn:li:organization:52118064,2023-09-01,,,Energy Harbor’s 24/7 Carbon-Free product goes beyond typical carbon offsets to provide a real-time match of energy usage with clean energy from nuclear generation. Learn about how your organization can fully meet its zero-emission goals. 
urn:li:ugcPost:7103371944774828032,urn:li:organization:52118064,2023-09-01,,,Take a giant step toward achieving your organization’s ESG goals with Energy Harbor. We can help offset your carbon footprint with Emission-Free Energy Certificates.
urn:li:ugcPost:7101352746036957184,urn:li:organization:52118064,2023-08-27,,,"Today we celebrate the remarkable women at Energy Harbor, whose contributions pave the way for a brighter and more inclusive tomorrow! 🌸💪🏼 {hashtag|\#|WomensEqualityDay} {hashtag|\#|WeAreEnergyHarbor} ◽️ Davis -Besse Women in Nuclear Chapter◽️ Energy Harbor Headquarters - Akron, OH◽️ Energy Harbor Networking Empowering Women - Davis -Besse◽️ Energy Harbor - Houston Office ◽️ Energy Harbor Network Empowering Women - Perry ◽️ Perry Chapter Women in Nuclear Chapter "
urn:li:ugcPost:7100839874408169472,urn:li:organization:52118064,2023-08-25,,,"The Marketing Team traded spreadsheets for stadium seats and took a road trip from Akron, OH to Pittsburgh, PA for the Guardians v. Pirates Game. {hashtag|\#|WeAreEnergyHarbor} ⚾️"
urn:li:ugcPost:7080231852652834816,urn:li:organization:265920,2023-06-29,,,It's almost the {hashtag|\#|FourthofJuly}! ❤️️🤍💙
urn:li:ugcPost:7098046101496233985,urn:li:organization:265920,2023-08-17,,,"Giving back to the community is a a top priority for Falls & Co. Each Friday, Falls & Co. employees can donate to their charity of choice and this quarter, we’ve donated to Victory Gallup, Hospice of  Western Reserve and the LGBT Community Center Greater Cleveland. For more information on how Falls & Co. gives back, click the link below. https://lnkd.in/g8i\_2i6K{hashtag|\#|NationalNonprofitDay}  {hashtag|\#|ClevelandNonprofits} {hashtag|\#|FallsGivesBack} "
urn:li:ugcPost:7015345959475834881,urn:li:organization:52118064,2023-01-01,,,Happy New Year!
urn:li:ugcPost:7001287174226669568,urn:li:organization:52118064,2022-11-23,,,"At Energy Harbor, we are grateful for all our hardworking employees and loyal customers. Happy Thanksgiving!  "
urn:li:ugcPost:7055681540722212864,urn:li:organization:52118064,2023-04-22,,,"🌳🌲 Love your Mother Earth. ❤️ 🌎Happy Earth Day, everyone! "
urn:li:ugcPost:7046880032077594624,urn:li:organization:52118064,2023-03-29,,,"Our entire nuclear fleet –Beaver Valley, Davis-Besse, and Perry – generated 31,576,812 MWh in 2022. Can you guess how much that amounts to?Equivalencies from the EPA Greenhouse Gas Equivalencies Calculator: https://lnkd.in/gPZHS66 "
urn:li:ugcPost:7012446952764182528,urn:li:organization:52118064,2022-12-24,,,Merry Christmas from our family to yours! 
urn:li:ugcPost:7029203058043609088,urn:li:organization:52118064,2023-02-08,,,At Energy Harbor we’re focused on reliable 24/7/365 carbon-free power and clean energy innovation. We’re on mission to help move the nation towards a total clean energy fuel economy. Watch our new video to learn exactly how we're doing this!{hashtag|\#|carbonfree} {hashtag|\#|nuclearpower} {hashtag|\#|hydrogenproduction} {hashtag|\#|innovation} {hashtag|\#|ESG} {hashtag|\#|carbonfootprintreduction} {hashtag|\#|LiveWithPower} 
urn:li:ugcPost:7042246718041579520,urn:li:organization:3309638,2023-03-16,,,"Welcome new hires @[Dene Vetrano](urn:li:person:9WrsmmsV8I), @[Suman Dhakal](urn:li:person:ZiCKEt8kta), @[Thomas Cluckey](urn:li:person:UaOF9EfCFK), @[Moeen Din](urn:li:person:kvHOKBz6hw), @[Myles Collins](urn:li:person:JElAcejsyA), and Nicholas Jablonski! We are so happy you have joined us! {hashtag|\#|Nexusengineering} {hashtag|\#|newhires}  "
urn:li:ugcPost:7087874425194254336,urn:li:organization:3309638,2023-07-20,,,"Real-world experience is something that you just can't get in the classroom! Hear what Joseph Kidd, @[Yashovardhan Sharma](urn:li:person:GLhe9MD5kA), and Jordan Frederick have to say about their experience here at @[Nexus Engineering Group, LLC](urn:li:organization:3309638)! To learn about our opportunities visit: https://bit.ly/3QN6Yqe {hashtag|\#|Nexusengineering} {hashtag|\#|summerinterns} "
urn:li:ugcPost:7065036264571342848,urn:li:organization:3309638,2023-05-18,,,"@[Nexus Engineering Group, LLC](urn:li:organization:3309638) welcomes new hires, @[Kris Mitchell](urn:li:person:vsfUv2mZKg), @[Joseph Nitz, P.E.](urn:li:person:HJgzhkx_jK), @[Tristen Runyan](urn:li:person:VV0qHOPBbH), and Heidi Lymanstall! Welcome aboard the Nexus team! {hashtag|\#|Nexusengineering} {hashtag|\#|welcome} {hashtag|\#|newhires} "
urn:li:ugcPost:7047336004046749696,urn:li:organization:3309638,2023-03-30,,,"Read Michael DeSantis' story of being a tenured engineer in the industry and what sets @[Nexus Engineering Group, LLC](urn:li:organization:3309638) apart from other engineering firms! Hear what Michael has to say at: http://bit.ly/40lBzQB {hashtag|\#|Nexusengineering} {hashtag|\#|dayinthelife} "
urn:li:ugcPost:7082813229483098115,urn:li:organization:3309638,2023-07-06,,,"Hands-on experience working with 3D CAD software is a valuable opportunity that @[Nexus Engineering Group, LLC](urn:li:organization:3309638) offers as part of its internship program. Hear what @[Abigail Erickson](urn:li:person:J_NHRVMxfs), @[Sean Boybekov](urn:li:person:XPkY0z6I-S), and @[Robert Yoon](urn:li:person:gZD_OT7bX-) have to say about their experience thus far. To learn about our internship opportunities, visit: https://bit.ly/3QN6Yqe {hashtag|\#|Nexusengineering} {hashtag|\#|summerinterns} {hashtag|\#|engineeringinternship} {hashtag|\#|engineeringlife} {hashtag|\#|3dmodeling}"
urn:li:ugcPost:7056978861518946304,urn:li:organization:3309638,2023-04-26,,,"@[Amy Lee, PE](urn:li:person:iDsid2ZjA7), Project Manager at @[Nexus Engineering Group, LLC](urn:li:organization:3309638), recently transitioned from process engineer to project management! Read more to learn about Amy's career journey at: https://bit.ly/3Lx8jl1 {hashtag|\#|Nexusengineeering} {hashtag|\#|dayinthelife}  {hashtag|\#|projectmanagementjobs}      "
urn:li:ugcPost:7021933074074517504,urn:li:organization:3309638,2023-01-19,,,"@[Jason Downie](urn:li:person:RXm65ZfQ_s) shares what it's like working at @[Nexus Engineering Group, LLC](urn:li:organization:3309638) for 5 years and working his way up to Mechanical Engineer II! Learn more about a typical day for Jason at: http://bit.ly/3kpykYi {hashtag|\#|Nexusengineering} {hashtag|\#|dayinthelife}  "
urn:li:ugcPost:7085336149652635651,urn:li:organization:3309638,2023-07-13,,,"Looking to be mentored by some of the industry's best? @[Nexus Engineering Group, LLC](urn:li:organization:3309638)'s internships offer the opportunity to work with a talented and experienced team! Hear what @[Ben Swihart](urn:li:person:tENkrLtAxB), @[Cameron Now](urn:li:person:AvjgeMDyQi), and @[Suman Dhakal](urn:li:person:ZiCKEt8kta) share about Nexus! To learn about our opportunities, visit: https://bit.ly/3QN6Yqe {hashtag|\#|Nexusengineering} {hashtag|\#|summerinterns} "
urn:li:ugcPost:7038908364113805312,urn:li:organization:3309638,2023-03-07,,,"Big welcome to our new hires @[Brianna McKinney](urn:li:person:kS9sUJx_MU), @[Karie Horen](urn:li:person:ZIgCKQKYTk), @[Jacob Dembiec](urn:li:person:YVSQDt43Qa), @[Sarah W.](urn:li:person:Ja0p1ppxTJ), Wendy Satina, and @[Brock Laurer](urn:li:person:tAHHqnfp9X)! @[Nexus Engineering Group, LLC](urn:li:organization:3309638) is elated to have you on our team! {hashtag|\#|Nexusengineering} {hashtag|\#|newhires}  "
urn:li:ugcPost:6990770716056977408,urn:li:organization:3309638,2022-10-25,,,"Welcome @[Matthew Locandro](urn:li:person:v3Fyw8ZBH0), @[Adam Klausing](urn:li:person:smJqZ4NNw_), Amelia Hewitt, Scot Piper, Brittni Aguiniga, and @[Cole DeBolt](urn:li:person:15THd6_R4r)! We are so excited to have you on our team! {hashtag|\#|Nexusengineering} {hashtag|\#|newhires} {hashtag|\#|welcome} "
urn:li:ugcPost:7046186060191563776,urn:li:organization:3309638,2023-03-27,,,"Welcome new hires, @[Warren Hector](urn:li:person:rWd0Ctc3P-), @[Joseph Arman](urn:li:person:Rl3B7jiFmv), @[Nicholas Saffle](urn:li:person:H0350jMGH9), @[Ali Wilson](urn:li:person:IdUcSWDxoU), @[Anoushka Rajeev](urn:li:person:ADawAONEvD), and Casey Kolodziej! We are so excited to have you aboard our team! {hashtag|\#|Nexusengineering} {hashtag|\#|newhires} "
urn:li:ugcPost:7069466247985303552,urn:li:organization:3309638,2023-05-31,,,"@[Nexus Engineering Group, LLC](urn:li:organization:3309638) welcomes summer interns, @[Jared Miller](urn:li:person:Wc2FkW-obA), @[Christian Anguiano Negrete](urn:li:person:Lsw5bqu0sq), and @[Naia Peters](urn:li:person:8AqQ2A6GAF) as apart of {hashtag|\#|internwelcomeweek}! We are so excited to have you aboard our team! {hashtag|\#|Nexusengineering} {hashtag|\#|welcometotheteam} "
urn:li:ugcPost:6996512940954705920,urn:li:organization:3309638,2022-11-10,,,"Welcome aboard, @[David Stong](urn:li:person:fw6BygdVVr), @[Austin Grillo](urn:li:person:7fL4I-uKLg), @[Austin Butcher](urn:li:person:LG16W5MGFm), @[Benjamin Thomas](urn:li:person:bqGPKHH-LC), @[Paul Myers](urn:li:person:F4W4wfsoat), and @[Steven L. Busby](urn:li:person:yenGH-bBaJ)! We are so glad to have you on our team! {hashtag|\#|Nexusengineering} {hashtag|\#|newhires} {hashtag|\#|welcome}    "
urn:li:ugcPost:7087474897320382464,urn:li:organization:3309638,2023-07-19,,,"A big {hashtag|\#|WelcomeWednesday} to our new hires, @[Leonardo Sciarretti](urn:li:person:H9cJazGIwp), Trenton Peterman, @[Ryan Witzke, P.E.](urn:li:person:XPhS6ITh8_), and @[Kyle Ryan](urn:li:person:9tJBY9U3A0). We are so happy you chose to join our team! {hashtag|\#|Nexusengineering} {hashtag|\#|newhires}  "
urn:li:ugcPost:7059269939035009024,urn:li:organization:3309638,2023-05-02,,,"Welcome new hires @[Michael Caldwell](urn:li:person:qjTJulWmo4), @[Daniel Zickefoose](urn:li:person:6Z4wGAHT_7), @[Colin Pinson](urn:li:person:Q6ntuROZDL), Luis Contreras, @[Jalin Wiley](urn:li:person:q4m1udBRXi), and Kyle Seeley! We are so excited to have you aboard our team! {hashtag|\#|Nexusengineering} {hashtag|\#|newhires}    "
urn:li:ugcPost:7003476966376951809,urn:li:organization:3309638,2022-11-29,,,"@[Nexus Engineering Group, LLC](urn:li:organization:3309638) welcomes our new interns, Gavin Shafer, @[Austin Grillo](urn:li:person:7fL4I-uKLg), @[Joseph Cavallo](urn:li:person:A65DqUhIjK), @[Gaurav Sali](urn:li:person:-znIjca4iI)! We are so excited to have you on our electrical, structural, project services, and process teams! {hashtag|\#|Nexusengineering} {hashtag|\#|interns} "
urn:li:ugcPost:6988244200983076864,urn:li:organization:3309638,2022-10-18,,,"@[Traci Haschka](urn:li:person:0dgfNPEA3m), @[Timothy Hoekenga](urn:li:person:3wM5r_PpzJ), @[Michael Rickel](urn:li:person:e0umN4YWdc) share why they felt @[Nexus Engineering Group, LLC](urn:li:organization:3309638) was the right fit for them! Learn more about Nexus and our available opportunities here: https://bit.ly/3QN6Yqe {hashtag|\#|Nexusengineering} {hashtag|\#|careerdevelopment} {hashtag|\#|opportunities} "
